#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,143,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,185,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,245,80,82,83,100,100,80,1,False
3,VenusaurMega Venusaur,Grass,Poison,303,80,100,123,122,120,80,1,False
4,Charmander,Fire,,134,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,180,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,240,78,84,78,109,85,100,1,False
6,CharizardMega Charizard X,Fire,Dragon,319,78,130,111,130,85,100,1,False
6,CharizardMega Charizard Y,Fire,Flying,260,78,104,78,159,115,100,1,False
7,Squirtle,Water,,157,44,48,65,50,64,43,1,False
8,Wartortle,Water,,202,59,63,80,65,80,58,1,False
9,Blastoise,Water,,262,79,83,100,85,105,78,1,False
9,BlastoiseMega Blastoise,Water,,302,79,103,120,135,115,78,1,False
10,Caterpie,Bug,,110,45,30,35,20,20,45,1,False
11,Metapod,Bug,,125,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,155,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,105,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,120,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,195,65,90,40,45,80,75,1,False
15,BeedrillMega Beedrill,Bug,Poison,255,65,150,40,15,80,145,1,False
16,Pidgey,Normal,Flying,125,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,178,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,238,83,80,75,70,70,101,1,False
18,PidgeotMega Pidgeot,Normal,Flying,243,83,80,80,135,80,121,1,False
19,Rattata,Normal,,121,30,56,35,25,35,72,1,False
20,Raticate,Normal,,196,55,81,60,50,70,97,1,False
21,Spearow,Normal,Flying,130,40,60,30,31,31,70,1,False
22,Fearow,Normal,Flying,220,65,90,65,61,61,100,1,False
23,Ekans,Poison,,139,35,60,44,40,54,55,1,False
24,Arbok,Poison,,214,60,85,69,65,79,80,1,False
25,Pikachu,Electric,,130,35,55,40,50,50,90,1,False
26,Raichu,Electric,,205,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,,210,50,75,85,20,30,40,1,False
28,Sandslash,Ground,,285,75,100,110,45,55,65,1,False
29,Nidoran (Female),Poison,,154,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,199,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Ground,269,90,92,87,75,85,76,1,False
32,Nidoran (Male),Poison,,143,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,190,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,260,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,163,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,238,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,119,38,41,40,50,65,65,1,False
38,Ninetales,Fire,,224,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,180,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,255,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,120,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,225,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,150,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,195,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,240,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,160,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,235,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,165,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,195,70,65,60,90,75,90,1,False
50,Diglett,Ground,,90,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,165,35,80,50,50,70,120,1,False
52,Meowth,Normal,,120,40,45,35,40,40,90,1,False
53,Persian,Normal,,195,65,70,60,65,65,115,1,False
54,Psyduck,Water,,150,50,52,48,65,50,55,1,False
55,Golduck,Water,,240,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,155,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,230,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,170,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,280,90,110,80,100,80,95,1,False
60,Poliwag,Water,,130,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,195,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,280,90,95,95,70,90,70,1,False
63,Abra,Psychic,,60,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,105,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,150,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,170,55,50,65,175,95,150,1,False
66,Machop,Fighting,,200,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,250,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,300,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,160,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,205,65,90,50,85,45,55,1,False
